слово               количество     частота(%)
и                          170          4.91%
в                           81          2.34%
на                          80          2.31%
не                          66          1.91%
а                           45          1.30%
он                          45          1.30%
что                         40          1.16%
ты                          34          0.98%
с                           30          0.87%
дьячиха                     29          0.84%
савелий                     29          0.84%
то                          27          0.78%
к                           26          0.75%
как                         24          0.69%
же                          24          0.69%
за                          24          0.69%
его                         23          0.66%
я                           23          0.66%
всё                         22          0.64%
из                          21          0.61%
она                         20          0.58%
по                          19          0.55%
так                         18          0.52%
ее                          18          0.52%
почтальон                   18          0.52%
у                           17          0.49%
бы                          17          0.49%
да                          17          0.49%
но                          17          0.49%
это                         16          0.46%
когда                       13          0.38%
тут                         13          0.38%
только                      12          0.35%
ему                         12          0.35%
глаза                       12          0.35%
еще                         11          0.32%
было                        11          0.32%
от                          10          0.29%
дьячок                      10          0.29%
есть                         9          0.26%
жену                         9          0.26%
опять                        8          0.23%
ну                           8          0.23%
чтоб                         8          0.23%
лицо                         8          0.23%
постели                      8          0.23%
словно                       7          0.20%
какая                        7          0.20%
кто                          7          0.20%
ехать                        7          0.20%
под                          7          0.20%
него                         7          0.20%
тебя                         7          0.20%
тебе                         7          0.20%
ведьма                       6          0.17%
ежели                        6          0.17%
голову                       6          0.17%
почту                        6          0.17%
почта                        6          0.17%
о                            6          0.17%
метель                       6          0.17%
были                         6          0.17%
была                         6          0.17%
вот                          6          0.17%
мы                           6          0.17%
немного                      6          0.17%
спросила                     6          0.17%
савелия                      6          0.17%
коли                         6          0.17%
время                        6          0.17%
мне                          6          0.17%
ничего                       6          0.17%
дело                         5          0.14%
глаз                         5          0.14%
был                          5          0.14%
сказал                       5          0.14%
вы                           5          0.14%
ни                           5          0.14%
стал                         5          0.14%
уж                           5          0.14%
себя                         5          0.14%
себе                         5          0.14%
вздохнула                    5          0.14%
раз                          5          0.14%
знаю                         5          0.14%
ямщик                        5          0.14%
вышел                        5          0.14%
жена                         5          0.14%
руки                         5          0.14%
голос                        5          0.14%
эта                          5          0.14%
или                          5          0.14%
дороги                       4          0.12%
головы                       4          0.12%
твои                         4          0.12%
окном                        4          0.12%
тьфу                         4          0.12%
глазами                      4          0.12%
дьячихи                      4          0.12%
чем                          4          0.12%
спать                        4          0.12%
чтобы                        4          0.12%
до                           4          0.12%
потом                        4          0.12%
совсем                       4          0.12%
их                           4          0.12%
ли                           4          0.12%
место                        4          0.12%
взгляд                       4          0.12%
со                           4          0.12%
ноги                         4          0.12%
теперь                       4          0.12%
при                          4          0.12%
церкви                       4          0.12%
снегом                       4          0.12%
через                        4          0.12%
руками                       4          0.12%
огонь                        4          0.12%
взглянул                     4          0.12%
такой                        4          0.12%
куда                         4          0.12%
тюки                         4          0.12%
сел                          4          0.12%
кружит                       4          0.12%
над                          4          0.12%
нет                          4          0.12%
день                         3          0.09%
быстро                       3          0.09%
послышался                   3          0.09%
звания                       3          0.09%
окно                         3          0.09%
там                          3          0.09%
голове                       3          0.09%
этой                         3          0.09%
погоду                       3          0.09%
давно                        3          0.09%
неподвижный                  3          0.09%
завтра                       3          0.09%
ради                         3          0.09%
вдоль                        3          0.09%
ответила                     3          0.09%
табурете                     3          0.09%
б                            3          0.09%
силы                         3          0.09%
х                            3          0.09%
они                          3          0.09%
чаю                          3          0.09%
мысли                        3          0.09%
дьячиху                      3          0.09%
рукав                        3          0.09%
пристал                      3          0.09%
сердито                      3          0.09%
тюк                          3          0.09%
вышла                        3          0.09%
недаром                      3          0.09%
проворчал                    3          0.09%
никодим                      3          0.09%
пробормотал                  3          0.09%
другой                       3          0.09%
сюда                         3          0.09%
духовного                    3          0.09%
ко                           3          0.09%
спали                        3          0.09%
нечего                       3          0.09%
все                          3          0.09%
скоро                        3          0.09%
вся                          3          0.09%
какой                        3          0.09%
чуть                         3          0.09%
одеялом                      3          0.09%
шею                          3          0.09%
шея                          3          0.09%
слышишь                      3          0.09%
жизни                        3          0.09%
почему                       3          0.09%
вдруг                        3          0.09%
стала                        3          0.09%
стон                         3          0.09%
человека                     3          0.09%
может                        3          0.09%
сени                         3          0.09%
повернулся                   3          0.09%
какого                       3          0.09%
медленно                     3          0.09%
печке                        3          0.09%
этого                        3          0.09%
ветер                        3          0.09%
отец                         3          0.09%
хоть                         3          0.09%
спросил                      3          0.09%
мой                          3          0.09%
злобой                       3          0.09%
два                          3          0.09%
затем                        3          0.09%
ночь                         3          0.09%
одеяла                       3          0.09%
потемках                     3          0.09%
нам                          3          0.09%
господи                      3          0.09%
щеки                         3          0.09%
свет                         3          0.09%
ним                          2          0.06%
них                          2          0.06%
мало                         2          0.06%
крякнул                      2          0.06%
опоздали                     2          0.06%
окончательно                 2          0.06%
голосом                      2          0.06%
дела                         2          0.06%
ногами                       2          0.06%
колокольчика                 2          0.06%
погреться                    2          0.06%
колокольчик                  2          0.06%
лесу                         2          0.06%
саблю                        2          0.06%
губы                         2          0.06%
слово                        2          0.06%
баба                         2          0.06%
окну                         2          0.06%
дорогу                       2          0.06%
колени                       2          0.06%
окне                         2          0.06%
выражение                    2          0.06%
окна                         2          0.06%
охотник                      2          0.06%
генеральше                   2          0.06%
попили                       2          0.06%
сквозь                       2          0.06%
этом                         2          0.06%
приход                       2          0.06%
тем                          2          0.06%
поле                         2          0.06%
бес                          2          0.06%
видя                         2          0.06%
ненастье                     2          0.06%
всегда                       2          0.06%
бугор                        2          0.06%
если                         2          0.06%
раза                         2          0.06%
остались                     2          0.06%
вместе                       2          0.06%
кровь                        2          0.06%
десять                       2          0.06%
почтовый                     2          0.06%
почти                        2          0.06%
проснувшийся                 2          0.06%
утихла                       2          0.06%
бог                          2          0.06%
подскочил                    2          0.06%
стенке                       2          0.06%
мотнул                       2          0.06%
молчала                      2          0.06%
белая                        2          0.06%
звенящий                     2          0.06%
башлык                       2          0.06%
плакало                      2          0.06%
оно                          2          0.06%
каким                        2          0.06%
сила                         2          0.06%
тонкий                       2          0.06%
ночевать                     2          0.06%
жили                         2          0.06%
прежде                       2          0.06%
крикнул                      2          0.06%
равно                        2          0.06%
грязи                        2          0.06%
продолжал                    2          0.06%
видел                        2          0.06%
спину                        2          0.06%
глупый                       2          0.06%
крышей                       2          0.06%
пальто                       2          0.06%
волосы                       2          0.06%
случится                     2          0.06%
казенное                     2          0.06%
первый                       2          0.06%
пять                         2          0.06%
заворочался                  2          0.06%
вас                          2          0.06%
аю                           2          0.06%
подумав                      2          0.06%
сами                         2          0.06%
во                           2          0.06%
уже                          2          0.06%
нешто                        2          0.06%
слезы                        2          0.06%
гм                           2          0.06%
папенька                     2          0.06%
гыкин                        2          0.06%
перед                        2          0.06%
сделайте                     2          0.06%
трех                         2          0.06%
погладил                     2          0.06%
им                           2          0.06%
почтальона                   2          0.06%
стены                        2          0.06%
почтальону                   2          0.06%
николу                       2          0.06%
замер                        2          0.06%
слышно                       2          0.06%
стене                        2          0.06%
закрыл                       2          0.06%
потянулся                    2          0.06%
дурень                       2          0.06%
понял                        2          0.06%
вон                          2          0.06%
рукой                        2          0.06%
каждый                       2          0.06%
места                        2          0.06%
проговорил                   2          0.06%
внес                         2          0.06%
писарь                       2          0.06%
открыл                       2          0.06%
лег                          2          0.06%
головой                      2          0.06%
та                           2          0.06%
своей                        2          0.06%
веря                         2          0.06%
стоило                       2          0.06%
сладко                       2          0.06%
свете                        2          0.06%
один                         2          0.06%
нему                         2          0.06%
шее                          2          0.06%
желая                        2          0.06%
темная                       2          0.06%
красивые                     2          0.06%
красивый                     2          0.06%
жизнь                        2          0.06%
глядела                      2          0.06%
мужа                         2          0.06%
эй                           2          0.06%
сидела                       2          0.06%
скажу                        2          0.06%
назад                        2          0.06%
бабьего                      2          0.06%
побледнел                    2          0.06%
ведь                         2          0.06%
быть                         2          0.06%
собачья                      2          0.06%
зна                          2          0.06%
стало                        2          0.06%
отрывая                      2          0.06%
бушевала                     2          0.06%
объясню                      2          0.06%
подумала                     2          0.06%
прохрипел                    2          0.06%
непогода                     2          0.06%
знал                         2          0.06%
лежал                        2          0.06%
тихо                         2          0.06%
такую                        2          0.06%
вашего                       2          0.06%
пропала                      2          0.06%
год                          2          0.06%
знает                        2          0.06%
жены                         2          0.06%
пороге                       2          0.06%
приходится                   2          0.06%
сатана                       2          0.06%
пальцем                      2          0.06%
казалось                     2          0.06%
своих                        2          0.06%
узел                         2          0.06%
тобой                        2          0.06%
кому                         2          0.06%
белую                        2          0.06%
землю                        2          0.06%
церковной                    2          0.06%
резко                        2          0.06%
хочешь                       2          0.06%
изредка                      2          0.06%
сказала                      2          0.06%
большой                      2          0.06%
никодиму                     2          0.06%
пошел                        2          0.06%
раиса                        2          0.06%
покружит                     2          0.06%
злобно                       2          0.06%
земли                        2          0.06%
разного                      2          0.06%
греться                      2          0.06%
тоже                         2          0.06%
замечаю                      2          0.06%
охота                        2          0.06%
сам                          2          0.06%
снега                        2          0.06%
свои                         2          0.06%
свое                         2          0.06%
отцу                         2          0.06%
гляди                        2          0.06%
коснулся                     2          0.06%
постель                      2          0.06%
ага                          2          0.06%
мастер                       2          0.06%
зачем                        2          0.06%
глядя                        2          0.06%
дверь                        2          0.06%
сторожки                     2          0.06%
около                        2          0.06%
сторожке                     2          0.06%
берет                        2          0.06%
гуляевский                   2          0.06%
толстую                      2          0.06%
милость                      2          0.06%
дух                          2          0.06%
нее                          2          0.06%
косу                         2          0.06%
лицом                        2          0.06%
даже                         2          0.06%
поглядел                     2          0.06%
деревьях                     1          0.03%
заходила                     1          0.03%
дверях                       1          0.03%
тропками                     1          0.03%
босыми                       1          0.03%
сопел                        1          0.03%
сапогах                      1          0.03%
белели                       1          0.03%
гулу                         1          0.03%
загорелся                    1          0.03%
долго                        1          0.03%
людей                        1          0.03%
рыжие                        1          0.03%
рыжих                        1          0.03%
готово                       1          0.03%
сенокос                      1          0.03%
верстах                      1          0.03%
зарыдала                     1          0.03%
блеснуло                     1          0.03%
собиралась                   1          0.03%
природе                      1          0.03%
поезда                       1          0.03%
жижица                       1          0.03%
засалено                     1          0.03%
деле                         1          0.03%
просятся                     1          0.03%
закрывая                     1          0.03%
ходьбой                      1          0.03%
едет                         1          0.03%
отстань                      1          0.03%
обвел                        1          0.03%
туда                         1          0.03%
тоска                        1          0.03%
потягиваясь                  1          0.03%
надевать                     1          0.03%
растает                      1          0.03%
плачет                       1          0.03%
часа                         1          0.03%
белокурый                    1          0.03%
ложа                         1          0.03%
ног                          1          0.03%
погибели                     1          0.03%
остановился                  1          0.03%
закрыты                      1          0.03%
щуря                         1          0.03%
закрыто                      1          0.03%
тишина                       1          0.03%
гости                        1          0.03%
рябое                        1          0.03%
плоский                      1          0.03%
кутья                        1          0.03%
мутить                       1          0.03%
минуту                       1          0.03%
круглой                      1          0.03%
дышать                       1          0.03%
громкий                      1          0.03%
минуты                       1          0.03%
кончила                      1          0.03%
едва                         1          0.03%
недоверчиво                  1          0.03%
серых                        1          0.03%
занимала                     1          0.03%
давал                        1          0.03%
масленый                     1          0.03%
нечистый                     1          0.03%
другая                       1          0.03%
застучали                    1          0.03%
опоздаем                     1          0.03%
утомившейся                  1          0.03%
господ                       1          0.03%
хлопушкой                    1          0.03%
щеках                        1          0.03%
потащил                      1          0.03%
пережитых                    1          0.03%
искренний                    1          0.03%
попросили                    1          0.03%
сморкун                      1          0.03%
опоздает                     1          0.03%
тому                         1          0.03%
хорошее                      1          0.03%
затылка                      1          0.03%
походила                     1          0.03%
начиналась                   1          0.03%
утер                         1          0.03%
грусти                       1          0.03%
плавали                      1          0.03%
груди                        1          0.03%
трубе                        1          0.03%
мелкой                       1          0.03%
разноцветных                 1          0.03%
калачиком                    1          0.03%
остановилась                 1          0.03%
хмурился                     1          0.03%
приложил                     1          0.03%
всплеснул                    1          0.03%
явственный                   1          0.03%
ложись                       1          0.03%
снежинки                     1          0.03%
дороге                       1          0.03%
смелее                       1          0.03%
досады                       1          0.03%
царица                       1          0.03%
хороший                      1          0.03%
стола                        1          0.03%
относительно                 1          0.03%
грудь                        1          0.03%
татарину                     1          0.03%
прислушался                  1          0.03%
потянувшись                  1          0.03%
дождавшись                   1          0.03%
робкий                       1          0.03%
задрожало                    1          0.03%
святая                       1          0.03%
поезду                       1          0.03%
прелесть                     1          0.03%
чего                         1          0.03%
врезывалась                  1          0.03%
отдохнуть                    1          0.03%
зевнул                       1          0.03%
засаленного                  1          0.03%
заступи                      1          0.03%
нетерпеливо                  1          0.03%
убил                         1          0.03%
недолговечные                1          0.03%
некому                       1          0.03%
тупо                         1          0.03%
нового                       1          0.03%
глупому                      1          0.03%
фуражкой                     1          0.03%
спрыгнул                     1          0.03%
плачущим                     1          0.03%
снежинка                     1          0.03%
кажись                       1          0.03%
благородие                   1          0.03%
погодя                       1          0.03%
повезешь                     1          0.03%
деревня                      1          0.03%
огнем                        1          0.03%
заходил                      1          0.03%
бас                          1          0.03%
стенам                       1          0.03%
присел                       1          0.03%
краю                         1          0.03%
края                         1          0.03%
этот                         1          0.03%
сюртучишке                   1          0.03%
всклоченной                  1          0.03%
погода                       1          0.03%
погоди                       1          0.03%
преосвященному               1          0.03%
духовенству                  1          0.03%
деревни                      1          0.03%
дергая                       1          0.03%
звонит                       1          0.03%
побежала                     1          0.03%
пророка                      1          0.03%
женщине                      1          0.03%
гораздо                      1          0.03%
женщины                      1          0.03%
перины                       1          0.03%
сесть                        1          0.03%
перину                       1          0.03%
словом                       1          0.03%
пятнами                      1          0.03%
нечистой                     1          0.03%
полю                         1          0.03%
форменном                    1          0.03%
холодом                      1          0.03%
показался                    1          0.03%
полу                         1          0.03%
неровен                      1          0.03%
густой                       1          0.03%
белее                        1          0.03%
густое                       1          0.03%
нибудь                       1          0.03%
без                          1          0.03%
повернулась                  1          0.03%
между                        1          0.03%
пола                         1          0.03%
принесло                     1          0.03%
испуганно                    1          0.03%
мелким                       1          0.03%
тигрицу                      1          0.03%
затихли                      1          0.03%
вовремя                      1          0.03%
неженатого                   1          0.03%
взглядывала                  1          0.03%
глаже                        1          0.03%
мытые                        1          0.03%
воскликнул                   1          0.03%
тешат                        1          0.03%
дрыгнул                      1          0.03%
звонки                       1          0.03%
обыкновение                  1          0.03%
видело                       1          0.03%
наутро                       1          0.03%
сполз                        1          0.03%
оба                          1          0.03%
выражает                     1          0.03%
сыпало                       1          0.03%
мельком                      1          0.03%
рака                         1          0.03%
добавила                     1          0.03%
марковка                     1          0.03%
бил                          1          0.03%
заглядывала                  1          0.03%
сеней                        1          0.03%
прощеного                    1          0.03%
близкая                      1          0.03%
босые                        1          0.03%
молитвы                      1          0.03%
кладешь                      1          0.03%
постояв                      1          0.03%
постоял                      1          0.03%
молчать                      1          0.03%
мной                         1          0.03%
кожаным                      1          0.03%
полтора                      1          0.03%
вспомнил                     1          0.03%
сшитого                      1          0.03%
лампочки                     1          0.03%
зимой                        1          0.03%
лампочке                     1          0.03%
грелись                      1          0.03%
разы                         1          0.03%
лампочка                     1          0.03%
любила                       1          0.03%
переваливаясь                1          0.03%
взял                         1          0.03%
гостя                        1          0.03%
божьего                      1          0.03%
разные                       1          0.03%
тепло                        1          0.03%
далече                       1          0.03%
удивленного                  1          0.03%
тепле                        1          0.03%
сверкнула                    1          0.03%
собака                       1          0.03%
образе                       1          0.03%
торчал                       1          0.03%
укрыться                     1          0.03%
хитрость                     1          0.03%
почтовую                     1          0.03%
ненавистью                   1          0.03%
хриплого                     1          0.03%
хитрости                     1          0.03%
томительного                 1          0.03%
звуки                        1          0.03%
поди                         1          0.03%
помощник                     1          0.03%
сразу                        1          0.03%
глубоко                      1          0.03%
здороваясь                   1          0.03%
стукнул                      1          0.03%
ближе                        1          0.03%
треснул                      1          0.03%
сживал                       1          0.03%
выражало                     1          0.03%
комара                       1          0.03%
живете                       1          0.03%
воззрилась                   1          0.03%
том                          1          0.03%
тон                          1          0.03%
тот                          1          0.03%
попал                        1          0.03%
ложась                       1          0.03%
плечо                        1          0.03%
сердитый                     1          0.03%
ямками                       1          0.03%
осветил                      1          0.03%
три                          1          0.03%
холодные                     1          0.03%
почтовые                     1          0.03%
похоть                       1          0.03%
плеча                        1          0.03%
плечи                        1          0.03%
рванул                       1          0.03%
корой                        1          0.03%
холодных                     1          0.03%
бок                          1          0.03%
тумане                       1          0.03%
ямки                         1          0.03%
зазвякало                    1          0.03%
садясь                       1          0.03%
донесся                      1          0.03%
дикая                        1          0.03%
попали                       1          0.03%
логика                       1          0.03%
видеть                       1          0.03%
распоряжалась                1          0.03%
гулял                        1          0.03%
реку                         1          0.03%
твари                        1          0.03%
успел                        1          0.03%
косолапые                    1          0.03%
фигура                       1          0.03%
ямщика                       1          0.03%
сладким                      1          0.03%
звенящие                     1          0.03%
цепочкой                     1          0.03%
красивее                     1          0.03%
окаянный                     1          0.03%
добро                        1          0.03%
менее                        1          0.03%
сложив                       1          0.03%
хлопья                       1          0.03%
снилось                      1          0.03%
стенами                      1          0.03%
рисуется                     1          0.03%
помощь                       1          0.03%
мысль                        1          0.03%
ж                            1          0.03%
торчали                      1          0.03%
ямщику                       1          0.03%
м                            1          0.03%
помилуй                      1          0.03%
раздался                     1          0.03%
поезд                        1          0.03%
какие                        1          0.03%
дыша                         1          0.03%
съеживаясь                   1          0.03%
стройные                     1          0.03%
расходившийся                1          0.03%
страха                       1          0.03%
злорадно                     1          0.03%
тонкие                       1          0.03%
приходил                     1          0.03%
боже                         1          0.03%
талию                        1          0.03%
бросил                       1          0.03%
земной                       1          0.03%
приходит                     1          0.03%
сапоги                       1          0.03%
повезет                      1          0.03%
горле                        1          0.03%
следами                      1          0.03%
придвинулся                  1          0.03%
холодными                    1          0.03%
требнике                     1          0.03%
сдавив                       1          0.03%
кем                          1          0.03%
повалился                    1          0.03%
пущай                        1          0.03%
плакала                      1          0.03%
пальцами                     1          0.03%
дрогнул                      1          0.03%
оставлять                    1          0.03%
сердится                     1          0.03%
догадках                     1          0.03%
час                          1          0.03%
судите                       1          0.03%
жестяная                     1          0.03%
поморщившись                 1          0.03%
произнеся                    1          0.03%
шевельнулись                 1          0.03%
спасовку                     1          0.03%
чаи                          1          0.03%
надо                         1          0.03%
бесформенный                 1          0.03%
грубого                      1          0.03%
нравственных                 1          0.03%
покосился                    1          0.03%
башлыке                      1          0.03%
желаете                      1          0.03%
ресницы                      1          0.03%
бога                         1          0.03%
перелез                      1          0.03%
лежала                       1          0.03%
всей                         1          0.03%
мере                         1          0.03%
взломало                     1          0.03%
помощи                       1          0.03%
меньше                       1          0.03%
расставил                    1          0.03%
заржал                       1          0.03%
разливалась                  1          0.03%
крите                        1          0.03%
перекрестись                 1          0.03%
слыхать                      1          0.03%
вторая                       1          0.03%
спине                        1          0.03%
прерывистого                 1          0.03%
почтовому                    1          0.03%
остановила                   1          0.03%
новизна                      1          0.03%
пришло                       1          0.03%
закурил                      1          0.03%
началась                     1          0.03%
сущая                        1          0.03%
конечно                      1          0.03%
протянул                     1          0.03%
слухом                       1          0.03%
свесив                       1          0.03%
настоящего                   1          0.03%
негодовал                    1          0.03%
живы                         1          0.03%
ком                          1          0.03%
перевел                      1          0.03%
будешь                       1          0.03%
снежные                      1          0.03%
народа                       1          0.03%
уехал                        1          0.03%
благовремении                1          0.03%
убежден                      1          0.03%
догадался                    1          0.03%
трогать                      1          0.03%
звук                         1          0.03%
упадет                       1          0.03%
встань                       1          0.03%
зуденье                      1          0.03%
пойду                        1          0.03%
увидел                       1          0.03%
молодого                     1          0.03%
сморкаясь                    1          0.03%
пыль                         1          0.03%
играть                       1          0.03%
свирепой                     1          0.03%
развязывать                  1          0.03%
рядна                        1          0.03%
лежит                        1          0.03%
первым                       1          0.03%
грязной                      1          0.03%
опоэтизировал                1          0.03%
поежился                     1          0.03%
минут                        1          0.03%
носом                        1          0.03%
тогда                        1          0.03%
швырнул                      1          0.03%
сбился                       1          0.03%
ваш                          1          0.03%
понеслись                    1          0.03%
нерешимости                  1          0.03%
сопротивляются               1          0.03%
злилась                      1          0.03%
юдифь                        1          0.03%
сугубому                     1          0.03%
белокурой                    1          0.03%
лечиться                     1          0.03%
ниловна                      1          0.03%
ходили                       1          0.03%
подернулись                  1          0.03%
церковь                      1          0.03%
верст                        1          0.03%
душу                         1          0.03%
небо                         1          0.03%
наше                         1          0.03%
косясь                       1          0.03%
развяжется                   1          0.03%
останавливаясь               1          0.03%
потушить                     1          0.03%
ви                           1          0.03%
шила                         1          0.03%
иудино                       1          0.03%
вздоха                       1          0.03%
замученный                   1          0.03%
душа                         1          0.03%
раздетая                     1          0.03%
морда                        1          0.03%
ваше                         1          0.03%
поезжай                      1          0.03%
патокой                      1          0.03%
прикосновения                1          0.03%
мурашками                    1          0.03%
прости                       1          0.03%
распутывать                  1          0.03%
побледнели                   1          0.03%
побледнела                   1          0.03%
доброе                       1          0.03%
покажите                     1          0.03%
слышался                     1          0.03%
мелькающий                   1          0.03%
вышедшего                    1          0.03%
распивать                    1          0.03%
другое                       1          0.03%
духу                         1          0.03%
другом                       1          0.03%
спаси                        1          0.03%
двух                         1          0.03%
клетке                       1          0.03%
скорее                       1          0.03%
жалостью                     1          0.03%
спохватился                  1          0.03%
прошипела                    1          0.03%
встревожился                 1          0.03%
подойдя                      1          0.03%
ухмыльнувшись                1          0.03%
вид                          1          0.03%
особую                       1          0.03%
тонкую                       1          0.03%
метели                       1          0.03%
переложил                    1          0.03%
удовольствия                 1          0.03%
мускулистые                  1          0.03%
небесная                     1          0.03%
безымянного                  1          0.03%
собачьей                     1          0.03%
чему                         1          0.03%
следы                        1          0.03%
фонтан                       1          0.03%
форме                        1          0.03%
ума                          1          0.03%
спрятаться                   1          0.03%
